epoch,step,train_acc_epoch,train_acc_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,train_precision_epoch,train_precision_step,train_recall_epoch,train_recall_step,val_acc_epoch,val_acc_step,val_f1_epoch,val_f1_step,val_loss_epoch,val_loss_step,val_precision_epoch,val_precision_step,val_recall_epoch,val_recall_step
,0,,,,,,,,,,,,0.375,,0.375,,1.112389326095581,,0.375,,0.375
,1,,,,,,,,,,,,0.3125,,0.3125,,1.1760551929473877,,0.3125,,0.3125
,2,,,,,,,,,,,,0.34375,,0.34375,,1.1660287380218506,,0.34375,,0.34375
,3,,,,,,,,,,,,0.28125,,0.28125,,1.164275050163269,,0.28125,,0.28125
,4,,,,,,,,,,,,0.3636363744735718,,0.3636363744735718,,1.1556836366653442,,0.3636363744735718,,0.3636363744735718
0,21,,,,,,,,,,,0.3333333432674408,,0.3333333432674408,,1.154833197593689,,0.3333333432674408,,0.3333333432674408,
0,21,0.3266761898994446,,0.3266761898994446,,1.8267780542373657,,0.3266761898994446,,0.3266761898994446,,,,,,,,,,,
,5,,,,,,,,,,,,0.375,,0.375,,1.0941094160079956,,0.375,,0.375
,6,,,,,,,,,,,,0.3125,,0.3125,,1.1168746948242188,,0.3125,,0.3125
,7,,,,,,,,,,,,0.34375,,0.34375,,1.1092883348464966,,0.34375,,0.34375
,8,,,,,,,,,,,,0.28125,,0.28125,,1.1206650733947754,,0.28125,,0.28125
,9,,,,,,,,,,,,0.3636363744735718,,0.3636363744735718,,1.1037702560424805,,0.3636363744735718,,0.3636363744735718
1,43,,,,,,,,,,,0.3333333432674408,,0.3333333432674408,,1.1092863082885742,,0.3333333432674408,,0.3333333432674408,
1,43,0.29243937134742737,,0.29243937134742737,,1.1909347772598267,,0.29243937134742737,,0.29243937134742737,,,,,,,,,,,
2,49,,0.40625,,0.40625,,1.099440097808838,,0.40625,,0.40625,,,,,,,,,,
,10,,,,,,,,,,,,0.375,,0.375,,1.1197474002838135,,0.375,,0.375
,11,,,,,,,,,,,,0.3125,,0.3125,,1.1203105449676514,,0.3125,,0.3125
,12,,,,,,,,,,,,0.25,,0.25,,1.144311785697937,,0.25,,0.25
,13,,,,,,,,,,,,0.46875,,0.46875,,1.0720266103744507,,0.46875,,0.46875
,14,,,,,,,,,,,,0.22727273404598236,,0.22727273404598236,,1.155170202255249,,0.22727273404598236,,0.22727273404598236
2,65,,,,,,,,,,,0.3333333432674408,,0.3333333432674408,,1.1201229095458984,,0.3333333432674408,,0.3333333432674408,
2,65,0.3352353870868683,,0.3352353870868683,,1.123862862586975,,0.3352353870868683,,0.3352353870868683,,,,,,,,,,,
,15,,,,,,,,,,,,0.375,,0.375,,1.113930583000183,,0.375,,0.375
,16,,,,,,,,,,,,0.3125,,0.3125,,1.1077125072479248,,0.3125,,0.3125
,17,,,,,,,,,,,,0.34375,,0.34375,,1.0890414714813232,,0.34375,,0.34375
,18,,,,,,,,,,,,0.28125,,0.28125,,1.1481634378433228,,0.28125,,0.28125
,19,,,,,,,,,,,,0.3636363744735718,,0.3636363744735718,,1.0811197757720947,,0.3636363744735718,,0.3636363744735718
3,87,,,,,,,,,,,0.3333333432674408,,0.3333333432674408,,1.1097851991653442,,0.3333333432674408,,0.3333333432674408,
3,87,0.3009985685348511,,0.3009985685348511,,1.141539216041565,,0.3009985685348511,,0.3009985685348511,,,,,,,,,,,
4,99,,0.34375,,0.34375,,1.1932576894760132,,0.34375,,0.34375,,,,,,,,,,
,20,,,,,,,,,,,,0.25,,0.25,,1.1421540975570679,,0.25,,0.25
,21,,,,,,,,,,,,0.375,,0.375,,1.0988048315048218,,0.375,,0.375
,22,,,,,,,,,,,,0.40625,,0.40625,,1.0929111242294312,,0.40625,,0.40625
,23,,,,,,,,,,,,0.25,,0.25,,1.132266879081726,,0.25,,0.25
,24,,,,,,,,,,,,0.40909090638160706,,0.40909090638160706,,1.0941729545593262,,0.40909090638160706,,0.40909090638160706
4,109,,,,,,,,,,,0.3333333432674408,,0.3333333432674408,,1.1132545471191406,,0.3333333432674408,,0.3333333432674408,
4,109,0.3295292556285858,,0.3295292556285858,,1.1403231620788574,,0.3295292556285858,,0.3295292556285858,,,,,,,,,,,
