epoch,step,train_acc_epoch,train_acc_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,train_precision_epoch,train_precision_step,train_recall_epoch,train_recall_step,val_acc_epoch,val_acc_step,val_f1_epoch,val_f1_step,val_loss_epoch,val_loss_step,val_precision_epoch,val_precision_step,val_recall_epoch,val_recall_step
,0,,,,,,,,,,,,0.375,,0.375,,1.1237398386001587,,0.375,,0.375
,1,,,,,,,,,,,,0.375,,0.375,,1.1237398386001587,,0.375,,0.375
,2,,,,,,,,,,,,0.4375,,0.4375,,1.0822815895080566,,0.4375,,0.4375
,3,,,,,,,,,,,,0.1875,,0.1875,,1.2270983457565308,,0.1875,,0.1875
,4,,,,,,,,,,,,0.1875,,0.1875,,1.2270984649658203,,0.1875,,0.1875
,5,,,,,,,,,,,,0.5,,0.5,,1.035569429397583,,0.5,,0.5
,6,,,,,,,,,,,,0.0625,,0.0625,,1.3310308456420898,,0.0625,,0.0625
,7,,,,,,,,,,,,0.5,,0.5,,1.0408234596252441,,0.5,,0.5
,8,,,,,,,,,,,,0.375,,0.375,,1.1132317781448364,,0.375,,0.375
,9,,,,,,,,,,,,0.3333333432674408,,0.3333333432674408,,1.1303625106811523,,0.3333333432674408,,0.3333333432674408
0,43,,,,,,,,,,,0.3333333432674408,,0.3333333432674408,,1.1443732976913452,,0.3333333432674408,,0.3333333432674408,
0,43,0.3452211022377014,,0.3452211022377014,,1.2425099611282349,,0.3452211022377014,,0.3452211022377014,,,,,,,,,,,
1,49,,0.4375,,0.4375,,1.2065486907958984,,0.4375,,0.4375,,,,,,,,,,
,10,,,,,,,,,,,,0.375,,0.375,,1.085587739944458,,0.375,,0.375
,11,,,,,,,,,,,,0.375,,0.375,,1.085587739944458,,0.375,,0.375
,12,,,,,,,,,,,,0.3125,,0.3125,,1.0927962064743042,,0.3125,,0.3125
,13,,,,,,,,,,,,0.3125,,0.3125,,1.1419657468795776,,0.3125,,0.3125
,14,,,,,,,,,,,,0.3125,,0.3125,,1.1419657468795776,,0.3125,,0.3125
,15,,,,,,,,,,,,0.1875,,0.1875,,1.119505524635315,,0.1875,,0.1875
,16,,,,,,,,,,,,0.6875,,0.6875,,1.0495452880859375,,0.6875,,0.6875
,17,,,,,,,,,,,,0.25,,0.25,,1.1000045537948608,,0.25,,0.25
,18,,,,,,,,,,,,0.25,,0.25,,1.124589443206787,,0.25,,0.25
,19,,,,,,,,,,,,0.1666666716337204,,0.1666666716337204,,1.1587854623794556,,0.1666666716337204,,0.1666666716337204
1,87,,,,,,,,,,,0.3333333432674408,,0.3333333432674408,,1.106783151626587,,0.3333333432674408,,0.3333333432674408,
1,87,0.3380884528160095,,0.3380884528160095,,1.1496102809906006,,0.3380884528160095,,0.3380884528160095,,,,,,,,,,,
2,99,,0.375,,0.375,,1.1005386114120483,,0.375,,0.375,,,,,,,,,,
,20,,,,,,,,,,,,0.375,,0.375,,1.1490216255187988,,0.375,,0.375
,21,,,,,,,,,,,,0.375,,0.375,,1.1490216255187988,,0.375,,0.375
,22,,,,,,,,,,,,0.3125,,0.3125,,1.192867636680603,,0.3125,,0.3125
,23,,,,,,,,,,,,0.3125,,0.3125,,1.075661540031433,,0.3125,,0.3125
,24,,,,,,,,,,,,0.3125,,0.3125,,1.0756614208221436,,0.3125,,0.3125
,25,,,,,,,,,,,,0.1875,,0.1875,,1.2512578964233398,,0.1875,,0.1875
,26,,,,,,,,,,,,0.6875,,0.6875,,0.9297919273376465,,0.6875,,0.6875
,27,,,,,,,,,,,,0.25,,0.25,,1.2367135286331177,,0.25,,0.25
,28,,,,,,,,,,,,0.25,,0.25,,1.1781104803085327,,0.25,,0.25
,29,,,,,,,,,,,,0.1666666716337204,,0.1666666716337204,,1.1779686212539673,,0.1666666716337204,,0.1666666716337204
2,131,,,,,,,,,,,0.3333333432674408,,0.3333333432674408,,1.139183521270752,,0.3333333432674408,,0.3333333432674408,
2,131,0.30813124775886536,,0.30813124775886536,,1.1350451707839966,,0.30813124775886536,,0.30813124775886536,,,,,,,,,,,
3,149,,0.3125,,0.3125,,1.2404593229293823,,0.3125,,0.3125,,,,,,,,,,
,30,,,,,,,,,,,,0.375,,0.375,,1.1653285026550293,,0.375,,0.375
,31,,,,,,,,,,,,0.375,,0.375,,1.1653285026550293,,0.375,,0.375
,32,,,,,,,,,,,,0.4375,,0.4375,,1.1067386865615845,,0.4375,,0.4375
,33,,,,,,,,,,,,0.1875,,0.1875,,1.2505574226379395,,0.1875,,0.1875
