epoch,step,train_acc_epoch,train_acc_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,train_precision_epoch,train_precision_step,train_recall_epoch,train_recall_step,val_acc_epoch,val_acc_step,val_f1_epoch,val_f1_step,val_loss_epoch,val_loss_step,val_precision_epoch,val_precision_step,val_recall_epoch,val_recall_step
,0,,,,,,,,,,,,0.5,,0.5,,0.9704992175102234,,0.5,,0.5
,1,,,,,,,,,,,,0.5,,0.5,,1.0192313194274902,,0.5,,0.5
,2,,,,,,,,,,,,0.8125,,0.8125,,0.8733888268470764,,0.8125,,0.8125
,3,,,,,,,,,,,,0.75,,0.75,,0.8981204628944397,,0.75,,0.75
,4,,,,,,,,,,,,0.5625,,0.5625,,0.9340633153915405,,0.5625,,0.5625
,5,,,,,,,,,,,,0.75,,0.75,,0.8838359713554382,,0.75,,0.75
,6,,,,,,,,,,,,0.625,,0.625,,0.9189398884773254,,0.625,,0.625
,7,,,,,,,,,,,,0.5,,0.5,,1.0291422605514526,,0.5,,0.5
,8,,,,,,,,,,,,0.6875,,0.6875,,0.9545983672142029,,0.6875,,0.6875
,9,,,,,,,,,,,,0.8333333134651184,,0.8333333134651184,,0.8760225772857666,,0.8333333134651184,,0.8333333134651184
0,43,,,,,,,,,,,0.6399999856948853,,0.6399999856948853,,0.9397682547569275,,0.6399999856948853,,0.6399999856948853,
0,43,0.5492154359817505,,0.5492154359817505,,0.9997912049293518,,0.5492154359817505,,0.5492154359817505,,,,,,,,,,,
1,49,,0.6875,,0.6875,,0.8856762647628784,,0.6875,,0.6875,,,,,,,,,,
,10,,,,,,,,,,,,0.6875,,0.6875,,0.831438422203064,,0.6875,,0.6875
,11,,,,,,,,,,,,0.5625,,0.5625,,0.9327415227890015,,0.5625,,0.5625
,12,,,,,,,,,,,,0.75,,0.75,,0.7692300081253052,,0.75,,0.75
,13,,,,,,,,,,,,0.75,,0.75,,0.8083673715591431,,0.75,,0.75
,14,,,,,,,,,,,,0.6875,,0.6875,,0.8126799464225769,,0.6875,,0.6875
,15,,,,,,,,,,,,0.75,,0.75,,0.8460875749588013,,0.75,,0.75
,16,,,,,,,,,,,,0.875,,0.875,,0.6326675415039062,,0.875,,0.875
,17,,,,,,,,,,,,0.5,,0.5,,1.0541417598724365,,0.5,,0.5
,18,,,,,,,,,,,,0.6875,,0.6875,,0.9062349200248718,,0.6875,,0.6875
,19,,,,,,,,,,,,0.8333333134651184,,0.8333333134651184,,0.7980019450187683,,0.8333333134651184,,0.8333333134651184
1,87,,,,,,,,,,,0.699999988079071,,0.699999988079071,,0.8419028520584106,,0.699999988079071,,0.699999988079071,
1,87,0.7261055707931519,,0.7261055707931519,,0.8291869759559631,,0.7261055707931519,,0.7261055707931519,,,,,,,,,,,
2,99,,0.6875,,0.6875,,0.8137723803520203,,0.6875,,0.6875,,,,,,,,,,
,20,,,,,,,,,,,,0.8125,,0.8125,,0.7590534090995789,,0.8125,,0.8125
,21,,,,,,,,,,,,0.6875,,0.6875,,0.8197749257087708,,0.6875,,0.6875
,22,,,,,,,,,,,,0.6875,,0.6875,,0.6344594955444336,,0.6875,,0.6875
,23,,,,,,,,,,,,0.75,,0.75,,0.7775201797485352,,0.75,,0.75
,24,,,,,,,,,,,,0.5625,,0.5625,,0.8123720288276672,,0.5625,,0.5625
,25,,,,,,,,,,,,0.75,,0.75,,0.7629445195198059,,0.75,,0.75
,26,,,,,,,,,,,,0.8125,,0.8125,,0.643337607383728,,0.8125,,0.8125
,27,,,,,,,,,,,,0.6875,,0.6875,,0.9045273065567017,,0.6875,,0.6875
,28,,,,,,,,,,,,0.6875,,0.6875,,0.7892760038375854,,0.6875,,0.6875
,29,,,,,,,,,,,,0.6666666865348816,,0.6666666865348816,,0.7764949798583984,,0.6666666865348816,,0.6666666865348816
2,131,,,,,,,,,,,0.7133333086967468,,0.7133333086967468,,0.7674081325531006,,0.7133333086967468,,0.7133333086967468,
2,131,0.7446504831314087,,0.7446504831314087,,0.7427622675895691,,0.7446504831314087,,0.7446504831314087,,,,,,,,,,,
3,149,,0.9375,,0.9375,,0.4910967946052551,,0.9375,,0.9375,,,,,,,,,,
,30,,,,,,,,,,,,0.75,,0.75,,0.71578449010849,,0.75,,0.75
,31,,,,,,,,,,,,0.6875,,0.6875,,0.7803465127944946,,0.6875,,0.6875
,32,,,,,,,,,,,,0.8125,,0.8125,,0.5914294719696045,,0.8125,,0.8125
,33,,,,,,,,,,,,0.75,,0.75,,0.7182506322860718,,0.75,,0.75
,34,,,,,,,,,,,,0.5625,,0.5625,,0.7435897588729858,,0.5625,,0.5625
,35,,,,,,,,,,,,0.75,,0.75,,0.7488102912902832,,0.75,,0.75
,36,,,,,,,,,,,,0.875,,0.875,,0.5438673496246338,,0.875,,0.875
,37,,,,,,,,,,,,0.6875,,0.6875,,0.9072787165641785,,0.6875,,0.6875
,38,,,,,,,,,,,,0.6875,,0.6875,,0.7381823062896729,,0.6875,,0.6875
,39,,,,,,,,,,,,0.8333333134651184,,0.8333333134651184,,0.7229188084602356,,0.8333333134651184,,0.8333333134651184
3,175,,,,,,,,,,,0.7333333492279053,,0.7333333492279053,,0.7209209203720093,,0.7333333492279053,,0.7333333492279053,
