epoch,step,train_acc_epoch,train_acc_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,train_precision_epoch,train_precision_step,train_recall_epoch,train_recall_step,val_acc_epoch,val_acc_step,val_f1_epoch,val_f1_step,val_loss_epoch,val_loss_step,val_precision_epoch,val_precision_step,val_recall_epoch,val_recall_step
,0,,,,,,,,,,,,0.40625,,0.40625,,1.1465948820114136,,0.40625,,0.40625
,1,,,,,,,,,,,,0.25,,0.25,,1.2697335481643677,,0.25,,0.25
,2,,,,,,,,,,,,0.28125,,0.28125,,1.3055081367492676,,0.28125,,0.28125
,3,,,,,,,,,,,,0.25,,0.25,,1.3220044374465942,,0.25,,0.25
,4,,,,,,,,,,,,0.3181818127632141,,0.3181818127632141,,1.2784825563430786,,0.3181818127632141,,0.3181818127632141
0,21,,,,,,,,,,,0.30000001192092896,,0.30000001192092896,,1.2635301351547241,,0.30000001192092896,,0.30000001192092896,
0,21,0.2610556483268738,,0.2610556483268738,,1.6748965978622437,,0.2610556483268738,,0.2610556483268738,,,,,,,,,,,
,5,,,,,,,,,,,,0.3125,,0.3125,,1.0540906190872192,,0.3125,,0.3125
,6,,,,,,,,,,,,0.375,,0.375,,1.0744290351867676,,0.375,,0.375
,7,,,,,,,,,,,,0.46875,,0.46875,,1.0522639751434326,,0.46875,,0.46875
,8,,,,,,,,,,,,0.1875,,0.1875,,1.1086974143981934,,0.1875,,0.1875
,9,,,,,,,,,,,,0.40909090638160706,,0.40909090638160706,,1.081282615661621,,0.40909090638160706,,0.40909090638160706
1,43,,,,,,,,,,,0.3466666638851166,,0.3466666638851166,,1.07367742061615,,0.3466666638851166,,0.3466666638851166,
1,43,0.3138373792171478,,0.3138373792171478,,1.1704015731811523,,0.3138373792171478,,0.3138373792171478,,,,,,,,,,,
2,49,,0.21875,,0.21875,,1.1122716665267944,,0.21875,,0.21875,,,,,,,,,,
,10,,,,,,,,,,,,0.46875,,0.46875,,0.9579372406005859,,0.46875,,0.46875
,11,,,,,,,,,,,,0.46875,,0.46875,,1.0452297925949097,,0.46875,,0.46875
,12,,,,,,,,,,,,0.5,,0.5,,1.0159417390823364,,0.5,,0.5
,13,,,,,,,,,,,,0.53125,,0.53125,,0.9883805513381958,,0.53125,,0.53125
,14,,,,,,,,,,,,0.40909090638160706,,0.40909090638160706,,1.0525187253952026,,0.40909090638160706,,0.40909090638160706
2,65,,,,,,,,,,,0.47999998927116394,,0.47999998927116394,,1.0093004703521729,,0.47999998927116394,,0.47999998927116394,
2,65,0.44793152809143066,,0.44793152809143066,,1.0478672981262207,,0.44793152809143066,,0.44793152809143066,,,,,,,,,,,
,15,,,,,,,,,,,,0.5,,0.5,,0.9706547856330872,,0.5,,0.5
,16,,,,,,,,,,,,0.5,,0.5,,1.0191048383712769,,0.5,,0.5
,17,,,,,,,,,,,,0.5,,0.5,,0.9493491649627686,,0.5,,0.5
,18,,,,,,,,,,,,0.5,,0.5,,1.015146255493164,,0.5,,0.5
,19,,,,,,,,,,,,0.4545454680919647,,0.4545454680919647,,0.9716300964355469,,0.4545454680919647,,0.4545454680919647
3,87,,,,,,,,,,,0.4933333396911621,,0.4933333396911621,,0.9860801100730896,,0.4933333396911621,,0.4933333396911621,
3,87,0.5164051651954651,,0.5164051651954651,,0.9984233379364014,,0.5164051651954651,,0.5164051651954651,,,,,,,,,,,
4,99,,0.5625,,0.5625,,0.9477189779281616,,0.5625,,0.5625,,,,,,,,,,
,20,,,,,,,,,,,,0.53125,,0.53125,,0.9307776689529419,,0.53125,,0.53125
,21,,,,,,,,,,,,0.65625,,0.65625,,0.9912555813789368,,0.65625,,0.65625
,22,,,,,,,,,,,,0.5625,,0.5625,,0.9394501447677612,,0.5625,,0.5625
,23,,,,,,,,,,,,0.625,,0.625,,0.9454070329666138,,0.625,,0.625
,24,,,,,,,,,,,,0.6818181872367859,,0.6818181872367859,,0.9568367004394531,,0.6818181872367859,,0.6818181872367859
4,109,,,,,,,,,,,0.6066666841506958,,0.6066666841506958,,0.9524727463722229,,0.6066666841506958,,0.6066666841506958,
4,109,0.5706133842468262,,0.5706133842468262,,0.9679482579231262,,0.5706133842468262,,0.5706133842468262,,,,,,,,,,,
,25,,,,,,,,,,,,0.71875,,0.71875,,0.8910875916481018,,0.71875,,0.71875
,26,,,,,,,,,,,,0.65625,,0.65625,,0.9773615002632141,,0.65625,,0.65625
,27,,,,,,,,,,,,0.59375,,0.59375,,0.9234386682510376,,0.59375,,0.59375
,28,,,,,,,,,,,,0.71875,,0.71875,,0.9173568487167358,,0.71875,,0.71875
,29,,,,,,,,,,,,0.6363636255264282,,0.6363636255264282,,0.9328317642211914,,0.6363636255264282,,0.6363636255264282
5,131,,,,,,,,,,,0.6666666865348816,,0.6666666865348816,,0.9281208515167236,,0.6666666865348816,,0.6666666865348816,
5,131,0.6162624955177307,,0.6162624955177307,,0.9286667704582214,,0.6162624955177307,,0.6162624955177307,,,,,,,,,,,
6,149,,0.625,,0.625,,0.8644406199455261,,0.625,,0.625,,,,,,,,,,
,30,,,,,,,,,,,,0.625,,0.625,,0.8799149394035339,,0.625,,0.625
,31,,,,,,,,,,,,0.625,,0.625,,0.9636543989181519,,0.625,,0.625
,32,,,,,,,,,,,,0.53125,,0.53125,,0.9177531599998474,,0.53125,,0.53125
,33,,,,,,,,,,,,0.625,,0.625,,0.8985965251922607,,0.625,,0.625
,34,,,,,,,,,,,,0.6818181872367859,,0.6818181872367859,,0.9159218072891235,,0.6818181872367859,,0.6818181872367859
6,153,,,,,,,,,,,0.6133333444595337,,0.6133333444595337,,0.9151179194450378,,0.6133333444595337,,0.6133333444595337,
6,153,0.6191155314445496,,0.6191155314445496,,0.9094417691230774,,0.6191155314445496,,0.6191155314445496,,,,,,,,,,,
,35,,,,,,,,,,,,0.65625,,0.65625,,0.8670779466629028,,0.65625,,0.65625
,36,,,,,,,,,,,,0.65625,,0.65625,,0.949413001537323,,0.65625,,0.65625
,37,,,,,,,,,,,,0.53125,,0.53125,,0.9056720733642578,,0.53125,,0.53125
