epoch,step,train_acc_epoch,train_acc_step,train_f1_epoch,train_f1_step,train_loss_epoch,train_loss_step,train_precision_epoch,train_precision_step,train_recall_epoch,train_recall_step,val_acc_epoch,val_acc_step,val_f1_epoch,val_f1_step,val_loss_epoch,val_loss_step,val_precision_epoch,val_precision_step,val_recall_epoch,val_recall_step
,0,,,,,,,,,,,,0.875,,0.875,,0.5653339624404907,,0.875,,0.875
,1,,,,,,,,,,,,0.6875,,0.6875,,0.6916163563728333,,0.6875,,0.6875
,2,,,,,,,,,,,,0.8125,,0.8125,,0.43529945611953735,,0.8125,,0.8125
,3,,,,,,,,,,,,0.8125,,0.8125,,0.523661732673645,,0.8125,,0.8125
,4,,,,,,,,,,,,0.6875,,0.6875,,0.6216824054718018,,0.6875,,0.6875
,5,,,,,,,,,,,,0.625,,0.625,,0.8010837435722351,,0.625,,0.625
,6,,,,,,,,,,,,1.0,,1.0,,0.20050957798957825,,1.0,,1.0
,7,,,,,,,,,,,,0.75,,0.75,,0.8515085577964783,,0.75,,0.75
,8,,,,,,,,,,,,0.875,,0.875,,0.5556485056877136,,0.875,,0.875
,9,,,,,,,,,,,,0.6666666865348816,,0.6666666865348816,,0.4911241829395294,,0.6666666865348816,,0.6666666865348816
0,43,,,,,,,,,,,0.7866666913032532,,0.7866666913032532,,0.5792550444602966,,0.7866666913032532,,0.7866666913032532,
0,43,0.6947218179702759,,0.6947218179702759,,0.6947066783905029,,0.6947218179702759,,0.6947218179702759,,,,,,,,,,,
1,49,,0.875,,0.875,,0.5157464146614075,,0.875,,0.875,,,,,,,,,,
,10,,,,,,,,,,,,0.875,,0.875,,0.47873955965042114,,0.875,,0.875
,11,,,,,,,,,,,,0.5625,,0.5625,,0.7478013634681702,,0.5625,,0.5625
,12,,,,,,,,,,,,0.875,,0.875,,0.4604053795337677,,0.875,,0.875
,13,,,,,,,,,,,,0.8125,,0.8125,,0.5242019891738892,,0.8125,,0.8125
,14,,,,,,,,,,,,0.8125,,0.8125,,0.3944384455680847,,0.8125,,0.8125
,15,,,,,,,,,,,,0.75,,0.75,,0.6834501624107361,,0.75,,0.75
,16,,,,,,,,,,,,1.0,,1.0,,0.09804409742355347,,1.0,,1.0
,17,,,,,,,,,,,,0.75,,0.75,,0.7071250677108765,,0.75,,0.75
,18,,,,,,,,,,,,0.9375,,0.9375,,0.46298328042030334,,0.9375,,0.9375
,19,,,,,,,,,,,,0.6666666865348816,,0.6666666865348816,,0.5342431664466858,,0.6666666865348816,,0.6666666865348816
1,87,,,,,,,,,,,0.8133333325386047,,0.8133333325386047,,0.5074699521064758,,0.8133333325386047,,0.8133333325386047,
1,87,0.8473609089851379,,0.8473609089851379,,0.37571945786476135,,0.8473609089851379,,0.8473609089851379,,,,,,,,,,,
2,99,,0.75,,0.75,,0.35616791248321533,,0.75,,0.75,,,,,,,,,,
,20,,,,,,,,,,,,0.875,,0.875,,0.36551499366760254,,0.875,,0.875
,21,,,,,,,,,,,,0.6875,,0.6875,,0.8131715655326843,,0.6875,,0.6875
,22,,,,,,,,,,,,0.875,,0.875,,0.3655957579612732,,0.875,,0.875
,23,,,,,,,,,,,,0.875,,0.875,,0.5215792655944824,,0.875,,0.875
,24,,,,,,,,,,,,0.75,,0.75,,0.4928095042705536,,0.75,,0.75
,25,,,,,,,,,,,,0.6875,,0.6875,,0.7307747602462769,,0.6875,,0.6875
,26,,,,,,,,,,,,0.9375,,0.9375,,0.15594182908535004,,0.9375,,0.9375
,27,,,,,,,,,,,,0.875,,0.875,,0.48773685097694397,,0.875,,0.875
,28,,,,,,,,,,,,0.875,,0.875,,0.4516894519329071,,0.875,,0.875
,29,,,,,,,,,,,,0.6666666865348816,,0.6666666865348816,,0.7557931542396545,,0.6666666865348816,,0.6666666865348816
2,131,,,,,,,,,,,0.8199999928474426,,0.8199999928474426,,0.4979451894760132,,0.8199999928474426,,0.8199999928474426,
2,131,0.8901569247245789,,0.8901569247245789,,0.3030748963356018,,0.8901569247245789,,0.8901569247245789,,,,,,,,,,,
3,149,,1.0,,1.0,,0.057389289140701294,,1.0,,1.0,,,,,,,,,,
,30,,,,,,,,,,,,0.9375,,0.9375,,0.3919139802455902,,0.9375,,0.9375
,31,,,,,,,,,,,,0.6875,,0.6875,,0.9328024387359619,,0.6875,,0.6875
,32,,,,,,,,,,,,0.875,,0.875,,0.354911744594574,,0.875,,0.875
,33,,,,,,,,,,,,0.875,,0.875,,0.5345050692558289,,0.875,,0.875
,34,,,,,,,,,,,,0.875,,0.875,,0.3932255506515503,,0.875,,0.875
,35,,,,,,,,,,,,0.6875,,0.6875,,0.7713824510574341,,0.6875,,0.6875
,36,,,,,,,,,,,,1.0,,1.0,,0.05433928966522217,,1.0,,1.0
,37,,,,,,,,,,,,0.75,,0.75,,0.6530026793479919,,0.75,,0.75
,38,,,,,,,,,,,,0.9375,,0.9375,,0.37373873591423035,,0.9375,,0.9375
,39,,,,,,,,,,,,0.6666666865348816,,0.6666666865348816,,0.6556559801101685,,0.6666666865348816,,0.6666666865348816
3,175,,,,,,,,,,,0.8399999737739563,,0.8399999737739563,,0.5019406080245972,,0.8399999737739563,,0.8399999737739563,
3,175,0.9087018370628357,,0.9087018370628357,,0.2313230037689209,,0.9087018370628357,,0.9087018370628357,,,,,,,,,,,
4,199,,0.9375,,0.9375,,0.11356501281261444,,0.9375,,0.9375,,,,,,,,,,
,40,,,,,,,,,,,,0.875,,0.875,,0.41537585854530334,,0.875,,0.875
,41,,,,,,,,,,,,0.5625,,0.5625,,1.492143154144287,,0.5625,,0.5625
,42,,,,,,,,,,,,0.875,,0.875,,0.3200486898422241,,0.875,,0.875
,43,,,,,,,,,,,,0.875,,0.875,,0.5269636511802673,,0.875,,0.875
,44,,,,,,,,,,,,0.6875,,0.6875,,0.6680029034614563,,0.6875,,0.6875
,45,,,,,,,,,,,,0.75,,0.75,,0.9035279154777527,,0.75,,0.75
,46,,,,,,,,,,,,0.9375,,0.9375,,0.11111678183078766,,0.9375,,0.9375
,47,,,,,,,,,,,,0.8125,,0.8125,,0.4225565791130066,,0.8125,,0.8125
,48,,,,,,,,,,,,0.875,,0.875,,0.42729759216308594,,0.875,,0.875
,49,,,,,,,,,,,,0.6666666865348816,,0.6666666865348816,,0.5041475296020508,,0.6666666865348816,,0.6666666865348816
4,219,,,,,,,,,,,0.800000011920929,,0.800000011920929,,0.5841161012649536,,0.800000011920929,,0.800000011920929,
4,219,0.9172610640525818,,0.9172610640525818,,0.21169538795948029,,0.9172610640525818,,0.9172610640525818,,,,,,,,,,,
